name_raw,name_family,name_first,title,fraction,period,state
"Fink Pius, Dipl.-Ing.",Fink,Pius,Dipl.-Ing.,ÖVP,V,V
"Finz Alfred, Dr.",Finz,Alfred,Dr.,ÖVP,XXII,W
"Firlinger Reinhard, Mag.",Firlinger,Reinhard,Mag.,L,XIX,N
"Firnberg Hertha, Dr. Dr. h.c.",Firnberg,Hertha,Dr. Dr. h.c.,SPÖ,X,W
Fischer Christian,Fischer,Christian,NA,CSP,I,St
Fischer Ernst,Fischer,Ernst,NA,KPÖ,V,1
"Fischer Heinz, Dr.",Fischer,Heinz,Dr.,SPÖ,XIII,W
Fischer Hermann,Fischer,Hermann,NA,SdP,IV,W
Fischer Leopold,Fischer,Leopold,NA,ÖVP,VI,N
"Fischer Rudolf Heinz, Ing.",Fischer,Rudolf Heinz,Ing.,ÖVP,XIII,St
"Fischer Ulrike, Mag.",Fischer,Ulrike,Mag.,GRÜNE,XXVII,N
Fischl Harald,Fischl,Harald,NA,FPÖ,XVIII,St
"Fischler Franz, Dipl.-Ing. Dr.",Fischler,Franz,Dipl.-Ing. Dr.,ÖVP,XVIII,T
Fister Alfred,Fister,Alfred,NA,SPÖ,XV,K
Fleckl Anita,Fleckl,Anita,NA,SPÖ,XXII,St
"Fleischmann Franz, Dr.",Fleischmann,Franz,Dr.,SPÖ,XIII,W
"Flemming Marilies, Dr.",Flemming,Marilies,Dr.,ÖVP,XVIII,W
"Flicker Franz, Dipl.-Ing.",Flicker,Franz,Dipl.-Ing.,ÖVP,XV,N
Flossmann Ferdinanda,Flossmann,Ferdinanda,NA,SdP,IV,3
Flöttl Karl,Flöttl,Karl,NA,SPÖ,IX,N
Födermayr Florian,Födermayr,Florian,NA,CSP,I,O
Fohringer Josef,Fohringer,Josef,NA,SdP,III,St
Foppa Hermann,Foppa,Hermann,NA,NWB,IV,3
Forsthuber Rudolf,Forsthuber,Rudolf,NA,SPÖ,V,S
Forstner August,Forstner,August,NA,SdP,I,W
"Frank Felix, Dr.",Frank,Felix,Dr.,GdP,I,W
Franz Anna,Franz,Anna,NA,ÖVP,XXII,V
Franz Georg,Franz,Georg,NA,ÖVP,VI,K
